112下,110027,MDMD10117,,醫師科學家研究概論(下),Physician-Scientist Program-Career Planning(2),45,53,T8-YM225[YM],1.00,1.00,兵岳忻、張佩靖、郭文娟、蔡金吾、林士傑、何國牟、郭曉縈、侯珮珊、陳摘文、林錦洲、陳德禮、葉俊廷,選修,(醫學系)
112下,110028,MDMD10110,,醫師科學家專題研究(一),Physician-Scientist Program-Research 1,不限,7,Sa-,3.00,6.00,兵岳忻、楊慕華、陳威儀、蔡明翰、陳虹如,選修,(醫學系)
112下,110029,MDMD10113,,醫師科學家專題研究(二),Physician-Scientist Program-Research 2,不限,4,Sa-,3.00,6.00,兵岳忻、黃宣誠、邱士華、陳世彬、廖皎君,選修,(醫學系)
112下,110030,MDMD10111,,醫師科學家專題研究(三),Physician-Scientist Program-Research 3,不限,3,Sa-,3.00,6.00,兵岳忻、邱士華、黃雪莉、陳榮治,選修,(醫學系)
112下,110031,MDMD10114,,醫師科學家專題研究(五),Physician-Scientist Program-Research 5,不限,2,Sa-,3.00,6.00,兵岳忻、邱士華、張原翊,選修,(醫學系)
112下,110032,MDMD10115,,醫師科學家專題研究(四),Physician-Scientist Program-Research 4,不限,1,Sa-,3.00,6.00,兵岳忻、陳斯婷,選修,(醫學系)
112下,110033,MDMD10112,,醫師科學家專題研究(六),Physician-Scientist Program-Research 6,不限,3,Sa-,3.00,6.00,兵岳忻、李光申、楊智傑、陳志強,選修,(醫學系)
112下,110034,MDMD10034,,心靈成長(二),Spiritual Growth Ⅱ,10,10,W34-,1.00,2.00,張佩靖,必修,(醫學系)
112下,110035,MDMD10035,,心靈成長(四),Spiritual Growth Ⅳ,不限,10,W34-,1.00,2.00,季康揚,必修,(醫學系)
112下,110036,MDMD10068,,生物學(下),General Biology (2),不限,123,M34-YX406[YM],2.00,2.00,羅清維、黃雪莉、陳燕彰、可文亞,必修,(醫學系)
112下,110037,MDMD10070,,生物學實驗,General Biology Lab.,72,52,M5678-YED109[YM],2.00,4.00,袁維謙、陳俊銘、羅清維、林崇智、金翠庭、李敏嘉、陳妤、吳如蕙,必修,(醫學系)
112下,110038,MDMD10070,,生物學實驗,General Biology Lab.,72,69,W5678-YED109[YM],2.00,4.00,袁維謙、陳俊銘、羅清維、林崇智、金翠庭、李敏嘉、陳妤、吳如蕙,必修,(醫學系)
112下,110039,MDMD10012,,大體解剖學,Gross Anatomy,不限,176,M1234T12345678W12R12345678F1234-YT001[YM],1.00,1.00,鄭瓊娟、凌憬峰、李學德、蔡佩君、郭曉縈、陳瑞裕、林宏鑫,必修,(醫學系)
112下,110040,MDMD10014,,大體解剖學實驗,Gross Anatomy Lab.,不限,179,M1234T12345678W12R12345678F1234-YEC109[YM],.20,.40,鄭瓊娟、傅毓秀、李學德、蔡佩君、郭曉縈,必修,(醫學系)
112下,110041,MDMD10085,,組織學,Histology,不限,176,M1234T12345678W12R12345678F1234-YT001[YM],1.00,1.00,鄭瓊娟、傅毓秀、李學德、郭曉縈、蔣偉程,必修,(醫學系)
112下,110042,MDMD10086,,組織學實驗,Histology Laboratory,不限,182,M1234T12345678W12R12345678F1234-YT001[YM],.50,1.00,鄭瓊娟、傅毓秀、李學德、郭曉縈、蔣偉程,必修,(醫學系)
112下,110043,MDMD10080,,神經解剖學,Neuroanatomy,不限,176,M1234T12345678W12R12345678F1234-YT001[YM],2.00,2.00,鄭瓊娟、傅毓秀、王先逸、郭曉縈、侯珮珊,必修,(醫學系)
112下,110044,MDMD10081,,神經解剖學實驗,Neuroanatomy Laboratory,不限,178,M1234T12345678W12R12345678F1234-YT001[YM],.50,1.00,鄭瓊娟、王先逸、郭曉縈、侯珮珊,必修,(醫學系)
112下,110047,MDMD10127,,醫學遺傳學,Medical Genetics,不限,176,M1234T12345678W12R12345678F1234-YT001[YM],1.60,1.60,陳燕彰、李光申、楊智宇、鍾明怡,必修,(醫學系)
112下,110048,MDMD10090,,胚胎學,Embryology,不限,176,M1234T12345678W12R12345678F1234-YT001[YM],1.00,1.00,鄭瓊娟、王先逸、侯珮珊,必修,(醫學系)
112下,110049,MDMD00006,,社區醫學實習,Community Medicine Practice,不限,135,R5678-,1.00,2.00,陳育群,必修,(醫學系)
112下,110050,MDMD10079,,神經症狀學,Symptomatology of nervous system disorders,120,39,F56-YM225[YM],1.00,1.00,陳世彬、李宜中、李怡慧、尤香玉、王嚴鋒、賴冠霖、蔣漢琳,選修,(醫學系)
112下,110051,MDMD00007,,健康照護數位轉型講座,Digital transformation in health care,90,31,"S34-EC114[GF],S34-YL402[YM]",2.00,2.00,陳麗芬、童恒新、曾意儒、許婷貽,選修,(醫學系)
112下,110052,MDMD00008,,數位醫學專題研究,Introduction to Machine Learning for Digital Healthcare,32,13,"M78-EC115[GF],M78-YL404[YM]",3.00,3.00,陳麗芬、曾意儒、嚴錦城,選修,(醫學系)
112下,110053,MDMD00003,,臨床醫學概論,Introduction to Clinical Medicine,20,4,"M34-ED305[GF],M34-YM303[YM]",2.00,2.00,黃怡翔、陳涵栩、林志慶、陽光耀、張世霖、林邑璁、李懿宬、方文良、陳明晃、王心儀、李政源、吳致緯、齊振達、蔡弘正、蕭樑材,選修,(醫學系)
112下,110054,MDMD20134,,核心內科講堂,Core-Course in Internal Medicine,不限,149,W89-,1.00,2.00,黃怡翔、李懿宬、劉峻宇、陳明翰、吳道正、林堯彬、潘聖衛、林芳綺、陳瑋昇、李政源、賴建志、蔡明村、林晉宇、簡聖軒、王維庭、李國華、沈宜靜、黃偉杰、陳燕溫、蔡依霖、施彥丞、阮志翰、陳玟均、何翊芯、莊茜、蔡弘正、林詠萱、吳崇暉、林亮羽、馮嘉毅、許劭榮、曾偉誠,必修,(醫學系)
112下,110055,MDMD20236,,臨床病例及病理討論,Clinical Case Discussion (CPC),不限,149,R567-,1.00,1.00,黃怡翔、胡瑜峰、陳志彥、陳育群、藍耿立、張世霖、林邑璁、鄭浩民、陳牧宏、雷文玫、洪凱風、賴峻毅、胡啟民、羅景全、藍苑慈、鍾芷萍、柯信國、黃德光、廖顯宗、李政源、郭盈汝、賴建志、陳威志、王彥博、黃君睿、劉耀中、林浚仁、張俊欽、簡聖軒、杭仁釩、劉至民、石柏威、陳一瑋、林士傑、楊宗杰、張富邦、程子珩、林庭安、鄧欣一、阮志翰、張天恩、陳玟均、陳天華、陳宥任、蔡淳光、何翊芯、莊茜、楊婉琴、楊博欽、何揚、陳範宇、張綜顯、林亮羽、許劭榮,必修,(醫學系)
112下,110056,MDMD20133,,核心外科講堂,Core-Course in Surgery,不限,148,W9a-,1.00,2.00,張世慶、林子平、洪榮志、楊純豪、方文良、藍苑慈、吳昭慶、蔡昕霖、陳明德、王審之、吳思賢、黃建勝、陳沂名,必修,(醫學系)
112下,110057,MDMD20049,,婦產科學,Obstetrics & Gynecology,不限,148,Sa-,2.00,3.00,陳怡仁、洪煥程、趙灌中、趙湘台、張家銘、葉長青、鄭乃銘、何積泓、劉希儒、曾仁宇、張燕後、張嘉珮、江岭諭、劉家豪、趙偉廷、陳冠宇、楊思婷,必修,(醫學系)
112下,110058,MDMD20068,,小兒科學,Pediatrics,不限,148,Sb-,2.00,3.00,張瑞文、鄭玫枝、楊令瑀、陳燕彰、王馨慧、楊佳鳳、賴昭誠、李昱聲、林建宏、顏秀如、許庭榕、曹珮真、張詠森、洪妙秋、林為聖、陳威宇、李星原、李致穎、黃清峯、洪君儀,必修,(醫學系)
112下,110059,MDMD20139,,核心實習訓練(內科),Core Clerkship-Internal Medicine,不限,149,,12.00,40.00,黃怡翔,必修,(醫學系)
